cc-by-nc-sa,indie rock,Mashup,321.6,http://soundcloud.com/kill_mr_dj/everybodys-lookin-for-a-turn,107339431,18,18
cc-by,indie rock,Classical,461.2,http://soundcloud.com/javi-diez/fantasy-game-ending-piano,112902131,37,37
cc-by-sa,jazz,Experimental,0,http://soundcloud.com/obirar/micro_contacto_bici,77386360,1,1
cc-by,jazz,M-S GanG 4life,0.6,http://soundcloud.com/user245781650/supremos-no-hood,106416178,5,5
cc-by-nc-nd,jazz,Progressive Rock,0.6,http://soundcloud.com/ilvcia/the-safe,110782546,1,1
cc-by-nc-sa,jazz,electronic,0.6,http://soundcloud.com/sneezes/brockisdead,123571128,1,1
cc-by-nd,jazz,None,1.2,http://soundcloud.com/papertrailzip/tougne-tied,20720931,2,2
cc-by-nd,jazz,Dubstep,14.2,http://soundcloud.com/subflink/dubstep-mix-for-chill-party,20833664,1,1
cc-by,jazz,Alica / DJ Highlander,131.4,http://soundcloud.com/al1cka/alica-dj-highlander-close-your,117318396,197,195
cc-by-nc-sa,jazz,Hard Circuit Style,175.8,http://soundcloud.com/jonnasroyproducer/k-e-s-h-a-warrior-jonnas-roy,127196301,27,27
cc-by-sa,jazz,Minimal House/Electronic,399.6,http://soundcloud.com/joxe-dj/minimal-house-classic,126039918,43,43
cc-by-nc-nd,jazz,Drum & Bass,452.8,http://soundcloud.com/nocidbusinessrec/network-da3,124945169,24,24
cc-by-nd,latin,Instrumental,0,http://soundcloud.com/emierri/emi-rri-yu,14415920,4,4
cc-by-sa,latin,None,0,http://soundcloud.com/the-mensch/wind-harps-at-wiford-gallery-1,86718818,1,1
cc-by,latin,Sample-Based,0.6,http://soundcloud.com/domonemesis/3-a-worrying-thing,103972727,2,2
cc-by-nc-nd,latin,Hip Hop,1.8,http://soundcloud.com/617syko413/i-dont-go-to-college-smokers,109987675,1,1
cc-by-nc-sa,latin,Liquid Dnb,1.8,http://soundcloud.com/def3kt/gaslight-wip,116149130,1,1
cc-by-nc-sa,latin,Ambient / Electronic,58,http://soundcloud.com/headjointambient1/shapes-inspired-by-the-music,121962833,13,13
cc-by,latin,quéweáculiao,89.8,http://soundcloud.com/baude-bohemia-beats/bot-n-5-247-634,107420727,4,4
cc-by-nc-nd,latin,Art,91.2,http://soundcloud.com/yourdreamsmynightmares/ydmn_102913,117879137,3,3
cc-by-sa,latin,None,237,http://soundcloud.com/president-sobhy/waja3,89213288,28,28
cc-by-nd,latin,crunkadubsteppafunkula,294.4,http://soundcloud.com/phuturelabs/s-type-mr-lizard-wav,7505355,12,11
cc-by,metal,None,0,http://soundcloud.com/hicham-bilal/c_location-timel,125624705,1,1
cc-by-nc-nd,metal,Fantasy,0,http://soundcloud.com/clivedamiani/dragon-slayer,108098211,6,6
cc-by-nc-sa,metal,ino,0,http://soundcloud.com/heroshima-producion/training,106399479,2,2
cc-by-nd,metal,chrsifeld,1.2,http://soundcloud.com/cengstfeld/chrisfeld-destrozado-broken-de,117733116,1,1
cc-by-sa,metal,Electro House ,1.8,http://soundcloud.com/naturah/ruling-toys-starlight,87998302,2,2
cc-by-nd,metal,Experimental Hardtek,30.4,http://soundcloud.com/dzs6/dzs-tes-rester-percher-mon,113836919,3,3
cc-by-sa,metal,Bollywood,205.8,http://soundcloud.com/weboxoffice/khoon-choos-le-go-goa-gone,87951429,14,13
cc-by-nc-sa,metal,Deep House,261.6,http://soundcloud.com/ron-mars/deep-of-the-week-ii-october,113104168,5,5
cc-by-nc-nd,metal,MASHUP,285.6,http://soundcloud.com/dj_vipin/aint-a-party-vs-party-rock,105954592,37,36
cc-by,metal,None,534.8,http://soundcloud.com/lovenepal/manma-pida-xa-hola-vocal,97480325,1,1
cc-by-nd,minimal techno,Metal,0,http://soundcloud.com/sznattila/in-the-middle-of-nowhere-2,47975662,1,0
cc-by-nc-nd,minimal techno,GOGOG O,0.4,http://soundcloud.com/djthomaqpfull-musick/electronic-revolution-mix,119347020,1,1
cc-by-nc-sa,minimal techno,lolidk,1.2,http://soundcloud.com/riskyrobot/whiskey-decision,124433763,2,2
cc-by,minimal techno,None,1.8,http://soundcloud.com/djrpm-2/party-popper-spring-13,110218369,1,1
cc-by-sa,minimal techno,Electro,1.8,http://soundcloud.com/psygfault/milkmans-dream,122965239,1,1
cc-by,minimal techno,Hip Hop / Beats,50.4,http://soundcloud.com/pragmatic-theory-label-1/dj-sapien-dumplings-preview,103876722,29,29
cc-by-sa,minimal techno,Progressive House,67,http://soundcloud.com/shockstorm/martin-garrix-jay-hardway-ft,122916612,8,7
cc-by-nd,minimal techno,RAP,115,http://soundcloud.com/mcpacha/pach-pt-haikaiss-o-underground,69336873,19,19
cc-by-nc-nd,minimal techno,Techno,178.2,http://soundcloud.com/thebeatmill/thebeatmill-sessions-037,97623202,4,4
cc-by-nc-sa,minimal techno,blue eyes,425.8,http://soundcloud.com/djrahulvaidya/blue-eyes-dj-rahul-vaidya-ft,124440244,15,15
cc-by,piano,Bad Rock,0,http://soundcloud.com/domonemesis/13-i-want-to-believe-in-your,100558743,2,2
cc-by-nc-sa,piano,Musical,0.4,http://soundcloud.com/lucien-de-baixo/the-treatment-tuesday-14,120086577,1,1
cc-by-sa,piano,Hip Hop,0.4,http://soundcloud.com/carzoddiac/you-can-hip-hop-instrumental,103985718,2,2
cc-by-nc-nd,piano,Instrumental ,0.6,http://soundcloud.com/brunoflorentino1/horizontes,122951501,1,1
cc-by-nd,piano,Composition Electro Dub House,2.8,http://soundcloud.com/nicolascad/skyfall,79491911,3,3
cc-by-nd,piano,Chilled House/Hard Progressive,65.2,http://soundcloud.com/theofficialxenonsquare/xenon-square-laserlight-dream,79592156,69,67
cc-by-nc-nd,piano,Deep House,170.4,http://soundcloud.com/felinnemusic/lana-del-rey-young-and,122693576,59,59
cc-by-sa,piano,Hip-hop/rap,231,http://soundcloud.com/officialr-a-y/r-a-y-gossip-folks-freestyle,88344361,82,82
cc-by-nc-sa,piano,NAZIAHASSAN,510.2,http://soundcloud.com/djkawalofficial/a-tribute-to-nazia-hassan-boom,120064023,57,57
cc-by,piano,Techno,2614.6,http://soundcloud.com/djdandieugo/download-free-dandi-ugo-dj-set,124282300,72,71
cc-by,pop,Atmospheric,0,http://soundcloud.com/robin-davidsen/ship-in-distress,113218699,4,4
cc-by-nc-sa,pop,ni maschine,0,http://soundcloud.com/alecule/finger-the-maschine,104511745,1,1
cc-by-nc-nd,pop,Quand Il Pète Il Troue Son Slip,0.6,http://soundcloud.com/tcho-rem/quand-il-pe-te-il-troue-son,112440075,1,1
cc-by-nd,pop,Nu Rave,0.6,http://soundcloud.com/nyes/da-funk-is-that-3,103039841,2,2
cc-by-sa,pop,Rap,1.6,http://soundcloud.com/reyana_rl/the-preparation,89613706,1,1
cc-by-nd,pop,mash-up,46,http://soundcloud.com/djbiggh/got-to-give-up-the-blurred,105616251,1,1
cc-by-sa,pop,Loosefingers,109,http://soundcloud.com/loosefingers/loosefingers-bass-mountains,89738427,2,2
cc-by-nc-nd,pop,Drum & Bass,471.2,http://soundcloud.com/nocidbusinessrec/symplex-new-kind,122869960,22,22
cc-by,pop,Melbourne Bounce,1073.2,http://soundcloud.com/dj-dambro/dambro-the-bop-original-mix-1,113314771,59,58
cc-by-nc-sa,pop,Mi Nueva Patria,1347.4,http://soundcloud.com/ola-bolivariana/mi-nueva-patria-lucia,104300345,4,4
cc-by,progressive house,None,0,http://soundcloud.com/strelko/sky-canvas-failed,101886771,2,2
cc-by-nc-sa,progressive house,UTAU,0.4,http://soundcloud.com/rikka-yomi/yasashii-ryoute-haru-namidane,118314535,1,1
cc-by-nc-nd,progressive house,EDJING,0.6,http://soundcloud.com/filipo-ah-dar/fresh-groovey-1,116654054,2,2
cc-by-nc-nd,progressive house,Piano,157.6,http://soundcloud.com/kavitha291178/soft-piano-music,116493111,14,14
cc-by,progressive house,None,471.8,http://soundcloud.com/lovenepal/timilai-parai-thandina-by,118447518,1,1
cc-by-nc-sa,progressive house,HOUSE/DUBSTEP,851.6,http://soundcloud.com/djkawalofficial/blue-eyes-ft-yo-yo-honey-singh,125785704,137,135
cc-by,punk,News,0,http://soundcloud.com/primediabroadcasting/ewn-anc-distances-itself-from,102276239,1,1
cc-by-nd,punk,Cheapo,0,http://soundcloud.com/sahn/run-your-life-down,22347985,5,5
cc-by-nc-sa,punk,Alternative,0.4,http://soundcloud.com/theservicemonkeys/burning-bridges-demo,104860180,1,1
cc-by-sa,punk,drum and bass,0.4,http://soundcloud.com/staytment/sunday-blues,82618663,7,7
cc-by-nc-nd,punk,Punk Rock,1.2,http://soundcloud.com/nomoretales/walrus,113268436,1,1
cc-by-nc-nd,punk,Nu Disco,145.8,http://soundcloud.com/dynamicron/dynamicron-dystopian-disco-2,113325483,57,56
cc-by-nd,punk,Tech House ,151,http://soundcloud.com/milennia/zeit487-aab-tr-gger-ich-m-chte,96020039,152,150
cc-by-nc-sa,punk,HOUSEBOOTLEG,267,http://soundcloud.com/djalexgarcia/you-make-me-escape-alex-garcia,119078799,7,7
cc-by,punk,Bootleg,368.8,http://soundcloud.com/tom-drummond/fools-hands,104513258,34,34
cc-by-sa,punk,Techno/Minimaltechno,438,http://soundcloud.com/gong-recs/von-gong-2013-mixed-by-von,83097538,91,89
cc-by,r&b,Field Recording,0,http://soundcloud.com/monodot/08-40-at-emley,100861597,1,1
cc-by-nc-sa,r&b,other,0,http://soundcloud.com/jorge-lucero/caliplaya,106921959,1,1
cc-by-nd,r&b,Other,0,http://soundcloud.com/averus/compilation,26251098,1,1
cc-by-nc-nd,r&b,Alternative,0.6,http://soundcloud.com/damien-santerre/oktober,124535377,2,2
cc-by-sa,r&b,None,0.8,http://soundcloud.com/parking-sun/carny-dub-wip,105919407,1,1
cc-by-nc-nd,r&b,Progressive Rock,125.8,http://soundcloud.com/grav-ity/gravity-echo-ft-katja2,124517616,79,79
